"TIME","GEO","NRG_BAL","SIEC","UNIT","Value","Flag and Footnotes"
"2010","Latvia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,556.461",""
"2011","Latvia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,280.129",""
"2012","Latvia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,439.760",""
"2013","Latvia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,358.973",""
"2014","Latvia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,358.259",""
"2015","Latvia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,266.425",""
"2016","Latvia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,294.892",""
"2017","Latvia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,465.030",""
"2018","Latvia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,691.627",""
"2009","Lithuania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","7,815.934",""
"2010","Lithuania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,167.058",""
"2011","Lithuania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","5,905.753",""
"2012","Lithuania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","5,984.550",""
"2013","Lithuania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","5,803.230",""
"2014","Lithuania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","5,752.226",""
"2015","Lithuania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","5,793.555",""
"2016","Lithuania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,039.542",""
"2017","Lithuania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,161.042",""
"2018","Lithuania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,332.008",""
"2009","Luxembourg","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,340.655",""
"2010","Luxembourg","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,612.729",""
"2011","Luxembourg","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,532.342",""
"2012","Luxembourg","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,418.345",""
"2013","Luxembourg","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,297.686",""
"2014","Luxembourg","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,186.686",""
"2015","Luxembourg","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,143.816",""
"2016","Luxembourg","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,154.304",""
"2017","Luxembourg","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,291.857",""
"2018","Luxembourg","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,463.456",""
"2009","Hungary","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","23,947.914",""
"2010","Hungary","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","24,618.237",""
"2011","Hungary","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","24,390.621",""
"2012","Hungary","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","23,133.983",""
"2013","Hungary","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","22,405.328",""
"2014","Hungary","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","21,994.770",""
"2015","Hungary","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","23,298.063",""
"2016","Hungary","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","23,736.387",""
