"TIME","GEO","PRODUCT","CONSOM","UNIT","TAX","CURRENCY","Value","Flag and Footnotes"
"2014S2","Greece","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","All taxes and levies included","Purchasing Power Standard","0.2153",""
"2014S2","Greece","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","All taxes and levies included","National currency (former currencies of the euro area countries)","0.1785",""
"2014S2","Spain","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding taxes and levies","Euro","0.1861",""
"2014S2","Spain","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding taxes and levies","Purchasing Power Standard","0.2081",""
"2014S2","Spain","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding taxes and levies","National currency (former currencies of the euro area countries)","0.1861",""
"2014S2","Spain","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.1956",""
"2014S2","Spain","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2187",""
"2014S2","Spain","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency (former currencies of the euro area countries)","0.1956",""
"2014S2","Spain","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","All taxes and levies included","Euro","0.2367",""
"2014S2","Spain","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","All taxes and levies included","Purchasing Power Standard","0.2646",""
"2014S2","Spain","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","All taxes and levies included","National currency (former currencies of the euro area countries)","0.2367",""
"2014S2","France","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding taxes and levies","Euro","0.1164",""
"2014S2","France","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding taxes and levies","Purchasing Power Standard","0.1062",""
"2014S2","France","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding taxes and levies","National currency (former currencies of the euro area countries)","0.1164",""
"2014S2","France","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.1451",""
"2014S2","France","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.1323",""
"2014S2","France","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency (former currencies of the euro area countries)","0.1451",""
"2014S2","France","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","All taxes and levies included","Euro","0.1702",""
"2014S2","France","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","All taxes and levies included","Purchasing Power Standard","0.1552",""
"2014S2","France","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","All taxes and levies included","National currency (former currencies of the euro area countries)","0.1702",""
"2014S2","Croatia","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding taxes and levies","Euro","0.1013",""
"2014S2","Croatia","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding taxes and levies","Purchasing Power Standard","0.1601",""
"2014S2","Croatia","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding taxes and levies","National currency (former currencies of the euro area countries)","0.7746",""
"2014S2","Croatia","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.1059",""
"2014S2","Croatia","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.1674",""
"2014S2","Croatia","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency (former currencies of the euro area countries)","0.8096",""
"2014S2","Croatia","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","All taxes and levies included","Euro","0.1324",""
"2014S2","Croatia","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","All taxes and levies included","Purchasing Power Standard","0.2092",""
"2014S2","Croatia","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","All taxes and levies included","National currency (former currencies of the euro area countries)","1.0120",""
"2014S2","Italy","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding taxes and levies","Euro","0.1468",""
"2014S2","Italy","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding taxes and levies","Purchasing Power Standard","0.1463",""
"2014S2","Italy","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding taxes and levies","National currency (former currencies of the euro area countries)","0.1468",""
"2014S2","Italy","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.2125",""
"2014S2","Italy","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2117",""
"2014S2","Italy","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency (former currencies of the euro area countries)","0.2125",""
"2014S2","Italy","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","All taxes and levies included","Euro","0.2338",""
